slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alchemy-pay,,!offer:alchemy-pay,,,,,,,,
banxa,,!offer:banxa,,,,,,,,
guardarian,,!offer:guardarian,,,,,,,,
itez,,!offer:itez,,,,,,,,
kado,,!offer:kado,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
meso,,!offer:meso,,,,,,,,
moonpay,,!offer:moonpay,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
paybis,,!offer:paybis,,,,,,,,
sardine,,!offer:sardine,,,,,,,,
simplex,,!offer:simplex,,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,,,,,,,
unlimit-crypto,,!offer:unlimit-crypto,,,,,,,,
utorg,,!offer:utorg,,,,,,,,